agenda,dkod,nazev,metodika
19,D19.5.2,Počet osob vykonávajících náhradní rodinnou péči,"Součet řádků 90 - 90c, sl. 3 dle statistiky MPSV k 31.12. sledovaného roku."
19,D19.6,Počet dohod o výkonu pěstounské péče uzavřených OSPOD,K 31.12. sledovaného roku (všechny aktivní).
19,D19.7.1,Počet vypracovaných IPOD dětí dle § 6 zákona č. 359/1999 Sb.,K 31.12. sledovaného roku.
19,D19.8,Počet dětí umístěných v náhradní péči zařízení pro péči o děti,"Řádky 94 - 96b, sl. 9 statistiky MPSV k 31.12. sledovaného roku + počet dětí umístěných do zařízení na základě předběžného opatření soudu."
19,D19.8.1,Celkový počet dětí umístěných v náhradní péči zařízení pro péči o děti,Celkový počet dětí se kterými OSPOD pracoval v průběhu sledovaného roku.
19,D19.9,Počet pořádaných případových konferencí,Počet (vámi) POŘÁDANÝCH případových konferencí za celé období sledovaného roku.
19,D19.10,"Počet dětí, u kterých byl soudem či OSPOD stanoven dohled",Dohledy stanovené soudem nebo OSPOD k 31.12. sledovaného roku (všechny aktivní).
19,D19.11,Počet zásahů v rámci pohotovostní služby OSPOD mimo pracovní dobu,Počet zásahů z nichž byl pořízen ZÁZNAM do spisu za období sledovaného roku.
19,D19.12.1,VYPLŇTE POUZE POKUD PRŮKAZNĚ SLEDUJETE - SPOD - celkový počet sociálních šetření,"K 31.12. sledovaného roku. Sociální šetření na dožádání si započítá ten úřad, který ho provedl. Započtěte: Vykonané návštěvy sociálních pracovníků v rodině + Vykonané návštěvy sociálních pracovníků jinde."
19,D19.12.2,VYPLŇTE POUZE POKUD PRŮKAZNĚ SLEDUJETE - SPOD - celkový počet soudních jednání,K 31.12. sledovaného roku.
19,D19.13,Počet klientů kurátora pro děti a mládež,"Řádek 79, sl. 1 statistiky MPSV ve sledovaném roce."
