code,name,agenda,kind,unit
D19.14,Počet zaměstnanců - pracovních úvazků agendy SPOD,19,dkod,
D19.14.1,z toho počet zaměstnanců - pracovních úvazků na zajištění náhradní rodinné péče,19,dkod,
D19.14.2,z toho počet zaměstnanců - pracovních úvazků na zajištění agendy kurátora pro děti a mládež,19,dkod,
D19.14.3,Počet zaměstnanců - pracovních úvazků agendy SPOD (bez NRP a kurátora),19,dkod,
D19.15,Skutečné náklady na výkon OSPOD dle vyúčtování dotace MPSV v tis. Kč,19,dkod,
D19.16.1,ZVLÁŠTNÍ PŘÍJEMCE DÁVEK DŮCHODOVÉHO POJIŠTĚNÍ - počet správních rozhodnutí,19,dkod,
D19.16.2,ZVLÁŠTNÍ PŘÍJEMCE DÁVEK DŮCHODOVÉHO POJIŠTĚNÍ - počet evidovaných zvláštních příjemců dávek důchodového pojištění,19,dkod,
D19.17.1,VEŘEJNÉ OPATROVNICTVÍ - počet opatrovanců,19,dkod,
D19.17.2,VEŘEJNÉ OPATROVNICTVÍ - z toho počet opatrovanců v pobytových zařízeních,19,dkod,
D19.17.3,VEŘEJNÉ OPATROVNICTVÍ - počty návštěv,19,dkod,
D19.17.4,OPATROVNICTVÍ - počet sociálních šetření na dožádání ve věci opatrovnictví,19,dkod,
D19.17.5,VEŘEJNÉ OPATROVNICTVÍ - počet úvazků zaměstnanců,19,dkod,
D19.18.1,SOCIÁLNÍ PRÁCE - OHROŽENÉ A VYLOUČENÉ OSOBY - počet spisů,19,dkod,
D19.18.2,SOCIÁLNÍ PRÁCE - OHROŽENÉ A VYLOUČENÉ OSOBY - počet anonymních klientů,19,dkod,
D19.18.3,SOCIÁLNÍ PRÁCE - OHROŽENÉ A VYLOUČENÉ OSOBY - počet sociálních šetření,19,dkod,
D19.18.4,SOCIÁLNÍ PRÁCE - OHROŽENÉ A VYLOUČENÉ OSOBY - počet úvazků zaměstnanců,19,dkod,
D19.19.1,SOCIÁLNÍ KURATELA - OSOBY VE VÝKONU VAZBY A TRESTU ODNĚTÍ SVOBODY - počet návštěv ve věznicích,19,dkod,
D19.19.2,SOCIÁLNÍ KURATELA - OSOBY VE VÝKONU VAZBY A TRESTU ODNĚTÍ SVOBODY - počet úvazků zaměstnanců,19,dkod,
D19.19.3,SOCIÁLNÍ KURATELA - počet vypracovaných IPMD,19,dkod,
D19.20,VÝMĚNA A VÝDEJ PARKOVACÍCH PRŮKAZŮ,19,dkod,
D19.21,POČET UZAVŘENÝCH (PODEPSANÝCH) SMLUV A DODATKŮ DLE § 91 odst. 6 zák. č. 108/2006 Sb.,19,dkod,
D19.22,POČET SOCIÁLNÍCH POHŘBŮ,19,dkod,
D19.23,Počet ostatních zaměstnanců - pracovních úvazků odboru sociálních věcí,19,dkod,
D20.1,Počet pravomocně vydaných rozhodnutí celkem,20,dkod,
D20.2.1,"Celkový počet přestupků řešených rozhodnutím, příkazem, příkazem na místě nebo blokovou pokutou",20,dkod,
D20.2.2,"Vyplňte 1 pokud přestupky řešíte sami na odboru, 0 pokud je předáváte k řešení na specializované pracoviště, odbor, oddělení nebo 2 (kombinace, jiné)",20,dkod,
D20.3,Počet povolení nakládání s vodami,20,dkod,
D20.4,Počet vydaných opatření obecné povahy,20,dkod,
D20.5,Počet vydaných souhlasů dle §17 MIMO JES,20,dkod,
D20.6,Počet řešených havarijních situací,20,dkod,
D20.7,Počet provedených kontrol (dozorů) se zápisem,20,dkod,
D20.8,Počet zaměstnanců - pracovních úvazků v agendě vodoprávní řízení celkem,20,dkod,
D21.1,Počet vydaných správních rozhodnutí,21,dkod,
D21.1.1,"z toho celkový počet přestupků řešených rozhodnutím, příkazem, příkazem na místě nebo blokovou pokutou",21,dkod,
D21.1.2.1,"Vyplňte 1 pokud přestupky řešíte sami na odboru, 0 pokud je předáváte k řešení na specializované pracoviště, odbor, oddělení nebo 2 (kombinace, jiné)",21,dkod,
D21.3,Výměra pozemků určených k plnění funkce lesa ve správním obvodu v hektarech,21,dkod,
D21.4,Počet zaměstnanců - pracovních úvazků v agendě lesní hospodářství celkem,21,dkod,
D31.1,Počet - úvazky zaměstnanců celkem,31,dkod,
D31.2.1,Počet zaměstnanců - úvazků zajišťujících výkon státní správy,31,dkod,
D31.9,Výdaje na činnost místní správy celkem (bez investičních výdajů) v tis. Kč,31,dkod,
D61.1.1,Průměrný evidenční přepočtený počet zaměstnanců obce zařazených do OP/MP celkem,61,dkod,
1.1,Počet obyvatel obce VČETNĚ cizinců,,prepocet,
1.1.1,Počet obyvatel obce BEZ cizinců,,prepocet,
1.1.2,% cizinců v obci,,prepocet,
1.2,Počet obyvatel správního obvodu obce s rozšířenou působností VČETNĚ cizinců,,prepocet,
1.2.1,Počet obyvatel správního obvodu obce s rozšířenou působností BEZ cizinců,,prepocet,
